"name","type","borough","address","city","zip","lat","lon","license_no"
"ALEXANDER JIMENEZ","barber","Bronx","53 W 183rd St","Bronx","10453","40.85906","-73.90591","BSO-26-00147"
"ALEX'S SALON, INC.","salon","Bronx","3020 Buhre Ave","Bronx","10461","40.84727","-73.83149","AEB-17-01247"
"Aliza's Beauty Spa","salon","Bronx","3162 E Tremont Ave","Bronx","10461","40.83733","-73.8343","AEB-25-00800"
"All Beauty's Hair Salon Corp","salon","Bronx","1633 Westchester Ave","Bronx","10472","40.82966","-73.87407","AEB-23-01757"
"ALL STAR BARBER SHOP CORP","barber","Bronx","1620 University Avenue 3B","Bronx","10453","40.84737","-73.91967","18AL4054609"
"All Star Luxury Barbershop, Corp","barber","Bronx","1528 Watson Ave # B","Bronx","10472","40.82609","-73.87817","BSO-24-00077"
"AM COZY BEAUTY LLC","salon","Bronx","764 Morris Park Ave","Bronx","10462","40.8457","-73.8638","AEB-24-01885"
"AMAIAH BEAUTY PLACE & SPA LLC","salon","Bronx","700 Castle Hill Ave","Bronx","10473","40.82125","-73.84855","AEB-23-02115"
"AMAKS BEAUTY LAB INC","salon","Bronx","1934 Williamsbridge Rd # A","Bronx","10461","40.85305","-73.8535","AEB-22-01352"
"Amelia's Hair Studio LLC.","salon","Bronx","3520 Johnson Ave","Bronx","10463","40.88629","-73.90977","AEB-20-00708"
"AMENITY WAX SPOT & SPA INC","salon","Bronx","1612 Crosby Ave","Bronx","10461","40.8443","-73.83053","AEB-21-01871"
"AMORES UNISEX INC.","salon","Bronx","2857 Webster Ave","Bronx","10458","40.86672","-73.88456","AEB-22-01854"
"Ana Castillo","salon","Bronx","824 E 149th St","Bronx","10455","40.81253","-73.90568","AEB-25-02980"
"ANA DAYSI HAIR STYLIST UNISEX","salon","Bronx","1105 Castle Hill Ave","Bronx","10472","40.83004","-73.85059","AEB-14-01475"
"ana luz beauty salon llc","salon","Bronx","133 W Tremont Ave","Bronx","10453","40.85001","-73.91377","AEB-15-00823"
"ANGELA M. NAILS SALON INC.","salon","Bronx","2636 University Ave Frnt 2","Bronx","10468","40.86806","-73.90123","AEB-25-02841"
"ANGELETE TOTAL BEAUTY CARE","salon","Bronx","2507 HOLLAND AVE STORE 5","BRONX","10467","40.86351","-73.86547","21AN1045581"
"ANGELIC NAILS INC","salon","Bronx","720 E 233rd St","Bronx","10466","40.89315","-73.85656","AEB-18-01509"
"ANGELICA BEAUTY SALON LLC","salon","Bronx","1801A UNIVERSITY AVENUE","BRONX","10453","40.85075","-73.91514","AEB-22-00044"
"ANGELINA SALON UNISEX","salon","Bronx","2445 Walton Ave","Bronx","10468","40.86204","-73.90054","21AN1368414"
"ANGIES BEAUTY CONCEPTS INC","salon","Bronx","1017 Allerton Ave","Bronx","10469","40.8655","-73.85826","AEB-14-03029"
"Angkor Nail Salon Inc.","salon","Bronx","613 E Fordham Rd","Bronx","10458","40.85836","-73.88473","AEB-24-00591"
"ANNA'S NAILS DESIGN CORP.","salon","Bronx","950 Aldus St","Bronx","10459","40.82311","-73.89116","AEB-21-00689"
"Another Level Barbershop LLC","barber","Bronx","3904B White Plains Road","Bronx","10466","40.88594","-73.86152","BSO-18-00397"
